rollout/actions_mean,eval/Q,rollout/errors_dev,eval/goal_tolerance,train/param_noise_distance,eval/episodes,success rate,eval/return,rollout/errors,eval/errors,total/episodes,rollout/episodes,eval/errors_dev,rollout/return_history,reference_Q_mean,reference_actor_Q_mean,total/epochs,total/steps,rollout/Q_mean,rollout/return,rollout/episode_steps,train/loss_actor,obs_rms_std,reference_action_std,reference_action_mean,train/goal_tolerance,obs_rms_mean,train/loss_critic,eval/return_history,reference_Q_std,total/steps_per_second,rollout/actions_std,total/duration,reference_actor_Q_std
-0.2959235639948594,-0.9325916829862093,0.02494144335918798,0.019702954337045015,0.0,2.0526315789473686,0.0,-67.5701754385965,0.045223631176573374,0.05942725215325926,9.0,9.0,0.019885881314497898,-106.90695810037916,-0.39898581881272166,-0.3666817734116002,1,998,-0.4579660421923587,-106.90695810037916,107.24063159063158,0.3749701945405257,0.233974888920784,0.7577655597736961,-0.6069782093951577,0.01972446650350149,-0.10171865671873093,0.03273241849322068,-80.61905725853093,0.46130654215812683,6.417094727801215,0.6824396880049455,155.52264360377663,0.4475042631751613
-0.3342628400576742,-1.0082457787112187,0.02982164976746166,0.019410029741943974,0.0,2.210526315789474,0.1875,-64.04298245614035,0.048766247589015606,0.06360197239739762,17.94736842105263,17.94736842105263,0.023192781901278253,-108.76702568114426,-0.4729803533930528,-0.35436645620747614,1,1998,-0.7240077351268969,-108.76702568114426,109.10280968983785,0.35922291247468247,0.20096369087696075,0.6664237160431711,-0.39229458570480347,0.019429353069971542,-0.13420434296131134,0.02697056492692546,-75.59673923036084,0.5641452670097351,6.165300912859472,0.7088304036541989,324.0740943958885,0.5559363678881997
-0.2520389847065273,-1.2184408056108575,0.028343030575146234,0.01912146006829011,0.0,2.3684210526315788,0.3448275862068966,-67.9859649122807,0.042206309845754485,0.058993957411774496,30.94736842105263,30.94736842105263,0.023275690021918153,-95.36920219143444,-0.56431466968436,-0.41116494410916377,1,2998,-0.8509622247595536,-95.36920219143444,95.78938853814175,0.3545342997500771,0.19861340522766113,0.7268886377936915,-0.17492041736841202,0.019148119133752653,-0.1423046886920929,0.02898366082655756,-65.29529869602322,0.6623635511649283,5.910186408642206,0.7219134412313762,507.26035519650105,0.6760864508779425
-0.16814258773075907,-1.4889584528772455,0.027442934064909316,0.018837180571295412,0.0,3.0526315789473686,0.375,-51.56303258145364,0.03907873176865656,0.057191868599477835,44.63157894736842,44.63157894736842,0.022565476219740976,-88.52318250373534,-0.666775223455931,-0.463221085698981,1,3998,-0.972219423243874,-88.52318250373534,88.98211686835572,0.35523362849888046,0.19545990228652954,0.8215711493241159,0.06408337508573343,0.018858299632798562,-0.14392682909965515,0.03370239860133121,-60.975054321276446,0.8103244273286117,5.7980847153651425,0.7531118988990784,689.539263700184,0.8288157519541288
-0.12245765995038183,-1.7857578051717657,0.02645792849687521,0.01855712746873519,0.0,2.736842105263158,0.43636363636363634,-62.65877192982456,0.03709002913236485,0.05492826559370293,58.94736842105263,58.94736842105263,0.022268308642399204,-84.30629003764464,-0.7089016155192727,-0.46241887305912216,1,4998,-1.1168249970988224,-84.30629003764464,84.78726543017355,0.3950338755783282,0.19144132733345032,0.8342057905699077,0.0774717351029578,0.01857400659373241,-0.1434401124715805,0.02802691628274165,-52.66803324099724,0.8993966830404181,5.740225415418741,0.7737054448378714,870.6981722304696,0.9441628016923603
-0.111091616514482,-1.964995459506386,0.025891660356920126,0.01828123792663757,0.0,3.1052631578947367,0.4307692307692308,-52.9859649122807,0.035264088563900065,0.05444252402267752,74.73684210526316,74.73684210526316,0.021655947429621448,-79.64199580151737,-0.7092596543462653,-0.5018727857815591,1,5998,-1.2473227538560565,-79.64199580151737,80.14926971321881,0.4146788904541417,0.19900792837142944,0.8242008529211345,-0.0985236358093588,0.01830020294977078,-0.13903717696666718,0.0322183972518695,-45.869473684210526,1.092507519220051,5.667187320961207,0.7741848449957999,1058.3740282058716,1.0901876813487004
-0.10323758227260489,-1.9953121793897528,0.024811380790370204,0.018009450045185817,0.0,4.105263157894737,0.4880952380952381,-55.3627363864206,0.03227826178217913,0.05207437444382817,97.47368421052632,97.47368421052632,0.02144522341799745,-69.97270910850081,-0.7274316580672013,-0.5479954183101654,1,6998,-1.346425501923812,-71.49646398729732,72.06218998294979,0.4557153190437116,0.21570627391338348,0.7661412922959578,0.04480396304279566,0.01802537678894547,-0.12756574153900146,0.04734876183302779,-38.271578947368425,1.284114492566962,5.5443751176089915,0.768696992020858,1262.1803807584863,1.198163063902604
-0.09060426546554816,-2.194144217591537,0.02219989030080315,0.017741702844830193,0.0,8.947368421052632,0.7,-34.18268193794509,0.026335805309594316,0.04992745921417698,152.0,152.0,0.021308160344017456,-35.42526315789474,-0.7107527946171007,-0.5160670107916782,1,7998,-1.420596442724529,-52.44633290024389,53.14273588759306,0.6518685096188596,0.22528842091560364,0.7640871186005441,-0.025671238333942664,0.017752551111353043,-0.11520853638648987,0.06556991742629754,-22.099999999999998,1.414548215113188,5.348226418805493,0.76297338385331,1495.4498522532613,1.2966008186340332
-0.08163920789957047,-2.3041187336570337,0.020305241812891704,0.017477936252606324,0.0,10.789473684210526,0.95,-21.915058429566738,0.023083331209322915,0.04953118757644589,210.05263157894737,210.05263157894737,0.022399352360907843,-16.349473684210526,-0.7649529231222052,-0.5195892798273187,1,8998,-1.499482926569487,-42.158780482045465,42.92258646149395,0.7789914419776515,0.2308029681444168,0.7512634114215249,-0.05865177124934761,0.01748973891510195,-0.10699953883886337,0.07013701294597827,-11.582105263157894,1.540141921294363,5.173745144245833,0.7574104729451632,1739.1664599744897,1.4227021367926347
-0.07888589407268323,-2.4743522593849585,0.01856329479599692,0.01721809108865695,0.0,16.157894736842106,0.98,-25.39701555369838,0.020704980352908287,0.04906190946306571,287.1578947368421,287.1578947368421,0.02262655941181702,-13.285263157894738,-0.8683857572706122,-0.5836684076409591,1,9998,-1.5805849338832654,-34.32834165624722,35.14138517760458,0.7304916570061132,0.2348409742116928,0.7536813114818773,-0.08000767996265112,0.017224269885024377,-0.09974244236946106,0.06677489590487982,-10.47,1.6117671414425498,4.992657609215141,0.7534879602883992,2002.5416229649593,1.4909301431555497
